12 12 18 8
39 18 27 11
41 8 12 6
45 8 12 6
53 10 15 7
49 10 15 7
36 10 15 7
47 12 18 8
40 14 21 9
0 10 15 7
27 20 30 12
55 12 18 8
60 12 18 8
2 14 21 9
35 18 27 11
50 10 15 7
63 8 12 6
11 14 21 9
20 10 15 7
5 8 12 6
61 16 24 10
18 10 15 7
58 10 15 7
22 8 12 6
42 10 15 7
52 12 18 8
4 12 18 8
13 10 15 7
30 12 18 8
14 8 12 6
44 14 21 9
6 12 18 8
24 10 15 7
29 12 18 8
57 12 18 8
26 16 24 10
10 10 15 7
1 10 15 7
7 12 18 8
17 16 24 10
16 10 15 7
31 10 15 7
48 14 21 9
8 16 24 10
59 12 18 8
19 12 18 8
32 12 18 8
34 14 21 9
21 10 15 7
33 10 15 7
56 20 30 12
43 10 15 7
62 14 21 9
9 6 9 5
15 14 21 9
54 12 18 8
3 16 24 10
28 12 18 8
38 12 18 8
37 16 24 10
25 14 21 9
23 8 12 6
46 10 15 7
51 14 21 9
