330
-18	87	-1
-18	87	1
-16	83	-1
-16	83	1
-15	95	-1
-15	95	1
-14	81	-1
-14	81	1
-7	48	-1
-7	48	1
-6	7	-1
-6	7	1
-3	11	-1
-3	11	1
-3	81	-1
-3	81	1
-2	26	-1
-2	26	1
-2	38	-1
-2	38	1
-2	26	-1
-2	26	1
-0	43	-1
-0	43	1
-0	109	-1
-0	109	1
0	109	-1
0	109	1
2	58	-1
2	58	1
3	42	-1
3	42	1
3	109	-1
3	109	1
4	2	-1
4	2	1
4	58	-1
4	58	1
5	-0	-1
5	-0	1
5	78	-1
5	78	1
7	-10	-1
7	-10	1
7	117	-1
7	117	1
10	104	-1
10	104	1
10	103	-1
10	103	1
10	65	-1
10	65	1
11	49	-1
11	49	1
11	65	-1
11	65	1
12	28	-1
12	28	1
12	82	-1
12	82	1
12	28	-1
12	28	1
14	12	-1
14	12	1
14	15	-1
14	15	1
14	47	-1
14	47	1
15	89	-1
15	89	1
16	3	-1
16	3	1
18	21	-1
18	21	1
18	21	-1
18	21	1
18	63	-1
18	63	1
19	44	-1
19	44	1
20	-4	-1
20	-4	1
20	123	-1
20	123	1
20	-4	-1
20	-4	1
20	123	-1
20	123	1
21	90	-1
21	90	1
23	20	-1
23	20	1
23	77	-1
23	77	1
23	77	-1
23	77	1
25	46	-1
25	46	1
26	62	-1
26	62	1
27	85	-1
27	85	1
27	62	-1
27	62	1
28	62	-1
28	62	1
29	71	-1
29	71	1
29	71	-1
29	71	1
31	40	-1
31	40	1
31	43	-1
31	43	1
31	86	-1
31	86	1
32	106	-1
32	106	1
32	13	-1
32	13	1
33	30	-1
33	30	1
33	-15	-1
33	-15	1
33	112	-1
33	112	1
35	107	-1
35	107	1
35	80	-1
35	80	1
35	107	-1
35	107	1
40	11	-1
40	11	1
40	10	-1
40	10	1
40	137	-1
40	137	1
40	104	-1
40	104	1
40	63	-1
40	63	1
42	60	-1
42	60	1
43	10	-1
43	10	1
43	137	-1
43	137	1
44	30	-1
44	30	1
44	71	-1
44	71	1
45	48	-1
45	48	1
46	80	-1
46	80	1
46	46	-1
46	46	1
47	73	-1
47	73	1
47	77	-1
47	77	1
48	101	-1
48	101	1
49	-0	-1
49	-0	1
49	127	-1
49	127	1
49	35	-1
49	35	1
49	11	-1
49	11	1
49	45	-1
49	45	1
50	44	-1
50	44	1
50	40	-1
50	40	1
53	66	-1
53	66	1
60	17	-1
60	17	1
61	60	-1
61	60	1
62	104	-1
62	104	1
64	-14	-1
64	-14	1
64	113	-1
64	113	1
65	61	-1
65	61	1
67	-10	-1
67	-10	1
67	117	-1
67	117	1
67	-7	-1
67	-7	1
69	97	-1
69	97	1
70	29	-1
70	29	1
71	16	-1
71	16	1
72	15	-1
72	15	1
72	80	-1
72	80	1
75	75	-1
75	75	1
75	71	-1
75	71	1
76	98	-1
76	98	1
76	41	-1
76	41	1
77	41	-1
77	41	1
85	65	-1
85	65	1
85	65	-1
85	65	1
86	16	-1
86	16	1
86	16	-1
86	16	1
89	42	-1
89	42	1
90	42	-1
90	42	1
91	-7	-1
91	-7	1
91	120	-1
91	120	1
93	111	-1
93	111	1
94	6	-1
94	6	1
94	133	-1
94	133	1
95	115	-1
95	115	1
95	94	-1
95	94	1
100	89	-1
100	89	1
100	22	-1
100	22	1
102	113	-1
102	113	1
102	42	-1
102	42	1
104	43	-1
104	43	1
107	60	-1
107	60	1
108	45	-1
108	45	1
109	47	-1
109	47	1
109	118	-1
109	118	1
109	87	-1
109	87	1
110	20	-1
110	20	1
111	83	-1
111	83	1
112	22	-1
112	22	1
112	7	-1
112	7	1
112	134	-1
112	134	1
112	95	-1
112	95	1
113	72	-1
113	72	1
113	81	-1
113	81	1
114	6	-1
114	6	1
114	133	-1
114	133	1
117	6	-1
117	6	1
117	133	-1
117	133	1
117	34	-1
117	34	1
120	48	-1
120	48	1
121	7	-1
121	7	1
121	134	-1
121	134	1
122	27	-1
122	27	1
124	11	-1
124	11	1
124	81	-1
124	81	1
125	26	-1
125	26	1
125	38	-1
125	38	1
125	26	-1
125	26	1
127	43	-1
127	43	1
127	109	-1
127	109	1
127	109	-1
127	109	1
129	58	-1
129	58	1
130	109	-1
130	109	1
131	129	-1
131	129	1
131	58	-1
131	58	1
132	127	-1
132	127	1
132	78	-1
132	78	1
134	117	-1
134	117	1
137	65	-1
137	65	1
